Combinations,Pd,Rh,Pt,Fe,Ag,Co,Cr,Cu,Ni,Ru,Ir,Mn,In,T50(NO)
PdRh,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,252.2
PdPtRhFe,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,262.45
PtRh,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,265.5
AgCoPdPtRh,0.2,0.2,0.2,0,0.2,0.2,0,0,0,0,0,0,0,265.8
CrCuRhPd,0.25,0.25,0,0,0,0,0.25,0.25,0,0,0,0,0,267.2731517
PdPtRhCu,0.25,0.25,0.25,0,0,0,0,0.25,0,0,0,0,0,269
PdRhCoFe,0.25,0.25,0,0.25,0,0.25,0,0,0,0,0,0,0,271.2
PdRhCu,0.333333333,0.333333333,0,0,0,0,0,0.333333333,0,0,0,0,0,271.9
PdRhCuFe,0.25,0.25,0,0.25,0,0,0,0.25,0,0,0,0,0,272.2
CoNiRuRhPd,0.2,0.2,0,0,0,0.2,0,0,0.2,0.2,0,0,0,272.2954827
PdRhCuCo,0.25,0.25,0,0,0,0.25,0,0.25,0,0,0,0,0,273.4
NiCoPdPtRh,0.2,0.2,0.2,0,0,0.2,0,0,0.2,0,0,0,0,273.9
AgIrPdPtRh,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0.2,0,0,276.4
PdRhRu,0.333333333,0.333333333,0,0,0,0,0,0,0,0.333333333,0,0,0,276.6
PdRhNi,0.333333333,0.333333333,0,0,0,0,0,0,0.333333333,0,0,0,0,278.6
RhCu,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,278.9
PdRhFe,0.333333333,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0,283.2
PtRhCu,0,0.333333333,0.333333333,0,0,0,0,0.333333333,0,0,0,0,0,286.9
PdRhCo,0.333333333,0.333333333,0,0,0,0.333333333,0,0,0,0,0,0,0,290.3
MnFeRuRh,0,0.25,0,0.25,0,0,0,0,0,0.25,0,0.25,0,290.4233259
PtRhNi,0,0.333333333,0.333333333,0,0,0,0,0,0.333333333,0,0,0,0,290.9
PtRhCo,0,0.333333333,0.333333333,0,0,0.333333333,0,0,0,0,0,0,0,291.3
FeCoRuRhIr,0,0.2,0,0.2,0,0.2,0,0,0,0.2,0.2,0,0,292.9289042
NiCoFePtPd,0.2,0,0.2,0.2,0,0.2,0,0,0.2,0,0,0,0,293
PtRhFe,0,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0,0,0,293.9
PtRhRu,0,0.333333333,0.333333333,0,0,0,0,0,0,0.333333333,0,0,0,295.3
PdPtRh,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0,0,0,0,295.75
CrMnCuRhAg,0,0.2,0,0,0.2,0,0.2,0.2,0,0,0,0.2,0,296.0289672
NiInPdPtRh,0.2,0.2,0.2,0,0,0,0,0,0.2,0,0,0,0.2,296.2
CrRuPdPtRh,0.2,0.2,0.2,0,0,0,0.2,0,0,0.2,0,0,0,298
NiFePdPtRh,0.2,0.2,0.2,0.2,0,0,0,0,0.2,0,0,0,0,301.2
MnRuPdPtRh,0.2,0.2,0.2,0,0,0,0,0,0,0.2,0,0.2,0,307.2
RuAgPdPtRh,0.2,0.2,0.2,0,0.2,0,0,0,0,0.2,0,0,0,309.2
PdRu,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,309.2
PdRuFe,0.333333333,0,0,0.333333333,0,0,0,0,0,0.333333333,0,0,0,309.4
PdCu,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,318.7
CrMnCuPdPt,0.2,0,0.2,0,0,0,0.2,0.2,0,0,0,0.2,0,321.0597421
PdRuCo,0.333333333,0,0,0,0,0.333333333,0,0,0,0.333333333,0,0,0,324
CoFePdPtRh,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,326
MnCuRuPdPt,0.2,0,0.2,0,0,0,0,0.2,0,0.2,0,0.2,0,330.4469474
PdPtCo,0.333333333,0,0.333333333,0,0,0.333333333,0,0,0,0,0,0,0,332.35
PdPtCu,0.333333333,0,0.333333333,0,0,0,0,0.333333333,0,0,0,0,0,333.05
CrMnPdIr,0.25,0,0,0,0,0,0.25,0,0,0,0.25,0.25,0,337.6854511
PdRuNi,0.333333333,0,0,0,0,0,0,0,0.333333333,0.333333333,0,0,0,340.5
CoNiRuPtAg,0,0,0.166666667,0,0.166666667,0.166666667,0,0,0.166666667,0.166666667,0.166666667,0,0,354.369181
NiCuRhIrIn,0,0.2,0,0,0,0,0,0.2,0.2,0,0.2,0,0.2,354.7276789
CrNiRuPdAg,0.2,0,0,0,0.2,0,0.2,0,0.2,0.2,0,0,0,362.2373404
PdPtFe,0.333333333,0,0.333333333,0.333333333,0,0,0,0,0,0,0,0,0,366.2
CrNiPdAg,0.25,0,0,0,0.25,0,0.25,0,0.25,0,0,0,0,366.9472179
PtRuCo,0,0,0.333333333,0,0,0.333333333,0,0,0,0.333333333,0,0,0,367
FeNiIrPtAg,0,0,0.2,0.2,0.2,0,0,0,0.2,0,0.2,0,0,374.5651445
